n,rounds,trial,prove_us,verify_us
128,1,0,30,23
128,1,1,28,24
128,1,2,28,23
128,1,3,27,22
128,1,4,29,23
128,1,5,27,23
128,1,6,27,22
128,1,7,34,22
128,1,8,58,22
128,1,9,27,22
128,1,10,27,23
128,1,11,27,22
128,1,12,27,22
128,1,13,27,23
128,1,14,27,23
128,1,15,27,22
128,1,16,27,22
128,1,17,27,23
128,1,18,27,23
128,1,19,28,22
128,1,20,27,22
128,1,21,27,22
128,1,22,27,22
128,1,23,27,22
128,1,24,27,22
128,1,25,25,22
128,1,26,27,21
128,1,27,27,23
128,1,28,27,22
128,1,29,27,22
128,1,30,28,22
128,1,31,27,23
128,1,32,27,23
128,1,33,27,23
128,1,34,26,21
128,1,35,27,23
128,1,36,27,138
128,1,37,28,23
128,1,38,33,22
128,1,39,51,22
128,1,40,27,23
128,1,41,27,24
128,1,42,27,21
128,1,43,27,21
128,1,44,27,21
128,1,45,27,22
128,1,46,26,21
128,1,47,27,23
128,1,48,27,21
128,1,49,27,21
128,1,50,28,23
128,1,51,27,22
128,1,52,27,22
128,1,53,27,23
128,1,54,27,22
128,1,55,27,23
128,1,56,27,23
128,1,57,27,23
128,1,58,27,22
128,1,59,27,23
128,1,60,27,21
128,1,61,28,22
128,1,62,28,22
128,1,63,27,22
128,1,64,27,22
128,1,65,27,23
128,1,66,27,22
128,1,67,27,22
128,1,68,27,22
128,1,69,26,23
128,1,70,33,22
128,1,71,58,23
128,1,72,27,22
128,1,73,28,22
128,1,74,28,23
128,1,75,27,22
128,1,76,27,23
128,1,77,27,23
128,1,78,28,23
128,1,79,27,23
128,1,80,32,22
128,1,81,55,24
128,1,82,27,22
128,1,83,27,22
128,1,84,27,22
128,1,85,27,23
128,1,86,27,22
128,1,87,27,22
128,1,88,27,22
128,1,89,27,23
128,1,90,27,23
128,1,91,27,23
128,1,92,28,23
128,1,93,27,22
128,1,94,27,22
128,1,95,27,22
128,1,96,27,22
128,1,97,27,22
128,1,98,27,22
128,1,99,27,21
128,2,0,55,44
128,2,1,54,70
128,2,2,55,43
128,2,3,54,46
128,2,4,54,44
128,2,5,54,43
128,2,6,54,43
128,2,7,54,43
128,2,8,55,67
128,2,9,55,45
128,2,10,55,43
128,2,11,54,43
128,2,12,53,44
128,2,13,56,44
128,2,14,55,50
128,2,15,78,44
128,2,16,55,43
128,2,17,54,43
128,2,18,55,43
128,2,19,54,43
128,2,20,54,45
128,2,21,60,43
128,2,22,85,44
128,2,23,55,46
128,2,24,54,43
128,2,25,55,43
128,2,26,54,44
128,2,27,54,43
128,2,28,60,50
128,2,29,56,44
128,2,30,55,46
128,2,31,53,45
128,2,32,54,45
128,2,33,54,46
128,2,34,54,44
128,2,35,60,43
128,2,36,55,44
128,2,37,54,47
128,2,38,54,46
128,2,39,54,46
128,2,40,104,44
128,2,41,55,49
128,2,42,77,45
128,2,43,55,44
128,2,44,54,43
128,2,45,54,57
128,2,46,54,43
128,2,47,54,44
128,2,48,54,54
128,2,49,77,45
128,2,50,55,45
128,2,51,55,43
128,2,52,54,43
128,2,53,53,46
128,2,54,54,43
128,2,55,54,48
128,2,56,77,44
128,2,57,55,46
128,2,58,54,45
128,2,59,54,44
128,2,60,54,43
128,2,61,54,45
128,2,62,59,43
128,2,63,77,45
128,2,64,55,43
128,2,65,54,43
128,2,66,54,45
128,2,67,54,80
128,2,68,55,43
128,2,69,60,43
128,2,70,55,44
128,2,71,55,44
128,2,72,53,46
128,2,73,54,45
128,2,74,54,43
128,2,75,53,43
128,2,76,60,66
128,2,77,56,44
128,2,78,55,46
128,2,79,54,44
128,2,80,54,45
128,2,81,54,45
128,2,82,54,43
128,2,83,53,66
128,2,84,56,46
128,2,85,55,45
128,2,86,54,46
128,2,87,54,45
128,2,88,54,46
128,2,89,54,44
128,2,90,54,68
128,2,91,56,45
128,2,92,54,44
128,2,93,54,44
128,2,94,54,43
128,2,95,56,44
128,2,96,55,49
128,2,97,76,46
128,2,98,55,44
128,2,99,54,43
128,3,0,82,65
128,3,1,80,66
128,3,2,82,71
128,3,3,105,67
128,3,4,82,70
128,3,5,79,64
128,3,6,81,66
128,3,7,81,70
128,3,8,106,67
128,3,9,81,67
128,3,10,113,67
128,3,11,82,68
128,3,12,81,71
128,3,13,114,67
128,3,14,82,67
128,3,15,82,64
128,3,16,120,66
128,3,17,83,70
128,3,18,83,66
128,3,19,81,67
128,3,20,82,66
128,3,21,86,67
128,3,22,81,70
128,3,23,104,66
128,3,24,82,65
128,3,25,82,68
128,3,26,80,67
128,3,27,81,71
128,3,28,105,66
128,3,29,82,65
128,3,30,82,65
128,3,31,81,64
128,3,32,81,66
128,3,33,104,67
128,3,34,82,66
128,3,35,81,65
128,3,36,81,101
128,3,37,83,72
128,3,38,105,67
128,3,39,81,65
128,3,40,82,67
128,3,41,81,65
128,3,42,82,68
128,3,43,106,67
128,3,44,83,66
128,3,45,82,64
128,3,46,81,66
128,3,47,81,64
128,3,48,86,89
128,3,49,82,67
128,3,50,81,67
128,3,51,81,67
128,3,52,81,66
128,3,53,87,86
128,3,54,83,65
128,3,55,82,67
128,3,56,82,65
128,3,57,84,70
128,3,58,87,87
128,3,59,82,65
128,3,60,81,67
128,3,61,82,69
128,3,62,81,64
128,3,63,86,87
128,3,64,83,67
128,3,65,81,67
128,3,66,81,67
128,3,67,81,64
128,3,68,87,64
128,3,69,82,65
128,3,70,81,66
128,3,71,82,65
128,3,72,81,65
128,3,73,86,66
128,3,74,83,67
128,3,75,82,65
128,3,76,81,64
128,3,77,141,67
128,3,78,87,88
128,3,79,82,66
128,3,80,82,66
128,3,81,81,67
128,3,82,82,65
128,3,83,86,87
128,3,84,83,68
128,3,85,82,65
128,3,86,82,65
128,3,87,81,65
128,3,88,87,66
128,3,89,84,66
128,3,90,82,65
128,3,91,81,66
128,3,92,81,65
128,3,93,81,70
128,3,94,105,66
128,3,95,82,66
128,3,96,82,68
128,3,97,115,66
128,3,98,82,74
128,3,99,83,66
128,5,0,139,111
128,5,1,134,115
128,5,2,140,130
128,5,3,137,112
128,5,4,134,110
128,5,5,135,115
128,5,6,160,111
128,5,7,136,112
128,5,8,136,111
128,5,9,163,112
128,5,10,137,109
128,5,11,136,142
128,5,12,143,132
128,5,13,137,110
128,5,14,143,114
128,5,15,135,122
128,5,16,137,110
128,5,17,136,108
128,5,18,136,110
128,5,19,161,114
128,5,20,135,107
128,5,21,134,113
128,5,22,140,130
128,5,23,137,112
128,5,24,135,141
128,5,25,137,152
128,5,26,137,111
128,5,27,135,114
128,5,28,136,118
128,5,29,158,113
128,5,30,137,115
128,5,31,136,113
128,5,32,141,130
128,5,33,146,108
128,5,34,135,111
128,5,35,136,115
128,5,36,136,112
128,5,37,135,111
128,5,38,171,119
128,5,39,159,108
128,5,40,137,122
128,5,41,136,112
128,5,42,173,113
128,5,43,137,110
128,5,44,135,114
128,5,45,139,132
128,5,46,136,112
128,5,47,135,111
128,5,48,135,116
128,5,49,158,110
128,5,50,135,111
128,5,51,172,115
128,5,52,159,113
128,5,53,135,110
128,5,54,136,108
128,5,55,139,132
128,5,56,137,109
128,5,57,135,112
128,5,58,135,117
128,5,59,159,111
128,5,60,135,111
128,5,61,135,112
128,5,62,162,110
128,5,63,136,110
128,5,64,135,146
128,5,65,142,133
128,5,66,139,111
128,5,67,134,112
128,5,68,135,113
128,5,69,160,111
128,5,70,135,107
128,5,71,135,112
128,5,72,162,110
128,5,73,136,108
128,5,74,136,107
128,5,75,140,136
128,5,76,137,113
128,5,77,136,114
128,5,78,137,113
128,5,79,137,109
128,5,80,136,112
128,5,81,136,113
128,5,82,163,111
128,5,83,136,113
128,5,84,136,108
128,5,85,141,132
128,5,86,136,109
128,5,87,135,111
128,5,88,136,117
128,5,89,161,112
128,5,90,136,109
128,5,91,182,112
128,5,92,161,112
128,5,93,135,108
128,5,94,136,111
128,5,95,140,135
128,5,96,136,110
128,5,97,136,107
128,5,98,135,117
128,5,99,137,111
128,7,0,188,154
128,7,1,190,186
128,7,2,190,154
128,7,3,252,161
128,7,4,214,159
128,7,5,201,152
128,7,6,194,173
128,7,7,191,151
128,7,8,189,158
128,7,9,213,155
128,7,10,189,155
128,7,11,196,183
128,7,12,191,150
128,7,13,231,159
128,7,14,191,159
128,7,15,190,151
128,7,16,216,153
128,7,17,191,154
128,7,18,191,159
128,7,19,217,157
128,7,20,190,152
128,7,21,194,181
128,7,22,190,357
128,7,23,231,154
128,7,24,198,154
128,7,25,197,177
128,7,26,194,155
128,7,27,193,162
128,7,28,218,159
128,7,29,197,163
128,7,30,226,183
128,7,31,196,159
128,7,32,338,213
128,7,33,196,159
128,7,34,203,172
128,7,35,194,159
128,7,36,194,165
128,7,37,220,157
128,7,38,193,160
128,7,39,196,177
128,7,40,194,158
128,7,41,239,163
128,7,42,223,155
128,7,43,190,158
128,7,44,195,176
128,7,45,191,153
128,7,46,189,163
128,7,47,214,159
128,7,48,199,153
128,7,49,196,178
128,7,50,190,152
128,7,51,233,156
128,7,52,214,158
128,7,53,206,163
128,7,54,218,159
128,7,55,196,163
128,7,56,198,153
128,7,57,193,152
128,7,58,190,156
128,7,59,212,154
128,7,60,196,153
128,7,61,232,186
128,7,62,191,157
128,7,63,194,157
128,7,64,220,167
128,7,65,191,151
128,7,66,199,177
128,7,67,191,155
128,7,68,191,162
128,7,69,217,162
128,7,70,189,189
128,7,71,191,183
128,7,72,195,155
128,7,73,197,153
128,7,74,214,157
128,7,75,190,154
128,7,76,190,182
128,7,77,193,156
128,7,78,195,160
128,7,79,219,159
128,7,80,190,198
128,7,81,217,160
128,7,82,190,159
128,7,83,205,177
128,7,84,199,153
128,7,85,194,165
128,7,86,216,156
128,7,87,189,152
128,7,88,196,180
128,7,89,189,160
128,7,90,249,163
128,7,91,214,157
128,7,92,189,149
128,7,93,195,186
128,7,94,190,156
128,7,95,189,199
128,7,96,216,160
128,7,97,191,154
128,7,98,191,174
128,7,99,191,153
128,10,0,329,247
128,10,1,289,225
128,10,2,298,222
128,10,3,271,224
128,10,4,295,223
128,10,5,276,225
128,10,6,298,223
128,10,7,315,256
128,10,8,270,216
128,10,9,274,284
128,10,10,271,226
128,10,11,294,219
128,10,12,267,230
128,10,13,293,227
128,10,14,315,249
128,10,15,276,218
128,10,16,277,239
128,10,17,271,217
128,10,18,300,223
128,10,19,274,223
128,10,20,294,222
128,10,21,311,229
128,10,22,273,221
128,10,23,280,253
128,10,24,277,224
128,10,25,279,248
128,10,26,275,232
128,10,27,329,226
128,10,28,310,219
128,10,29,271,223
128,10,30,275,250
128,10,31,270,226
128,10,32,274,242
128,10,33,273,226
128,10,34,292,226
128,10,35,269,266
128,10,36,301,218
128,10,37,283,244
128,10,38,272,225
128,10,39,282,251
128,10,40,271,224
128,10,41,296,221
128,10,42,269,261
128,10,43,299,226
128,10,44,271,224
128,10,45,293,226
128,10,46,274,238
128,10,47,269,221
128,10,48,275,239
128,10,49,271,257
128,10,50,293,224
128,10,51,269,223
128,10,52,293,218
128,10,53,271,225
128,10,54,294,223
128,10,55,303,240
128,10,56,272,229
128,10,57,277,253
128,10,58,284,337
128,10,59,324,219
128,10,60,279,243
128,10,61,275,220
128,10,62,276,255
128,10,63,271,286
128,10,64,301,227
128,10,65,273,233
128,10,66,295,218
128,10,67,278,242
128,10,68,314,216
128,10,69,277,248
128,10,70,270,262
128,10,71,298,226
128,10,72,288,223
128,10,73,297,230
128,10,74,276,243
128,10,75,274,222
128,10,76,276,245
128,10,77,281,257
128,10,78,298,226
128,10,79,270,220
128,10,80,296,226
128,10,81,270,227
128,10,82,273,220
128,10,83,276,243
128,10,84,273,226
128,10,85,312,221
128,10,86,272,225
128,10,87,297,224
128,10,88,273,225
128,10,89,295,226
128,10,90,276,246
128,10,91,272,217
128,10,92,322,244
128,10,93,274,226
128,10,94,307,223
128,10,95,271,229
128,10,96,302,221
128,10,97,271,226
128,10,98,300,219
128,10,99,322,254
128,15,0,411,335
128,15,1,431,335
128,15,2,432,334
128,15,3,434,331
128,15,4,453,356
128,15,5,419,362
128,15,6,406,361
128,15,7,441,337
128,15,8,443,336
128,15,9,474,339
128,15,10,408,354
128,15,11,406,333
128,15,12,408,360
128,15,13,428,327
128,15,14,505,336
128,15,15,411,349
128,15,16,406,358
128,15,17,407,343
128,15,18,427,366
128,15,19,427,328
128,15,20,406,356
128,15,21,409,359
128,15,22,406,332
128,15,23,437,380
128,15,24,432,334
128,15,25,435,341
128,15,26,409,356
128,15,27,405,363
128,15,28,406,382
128,15,29,430,342
128,15,30,430,337
128,15,31,429,336
128,15,32,426,365
128,15,33,443,359
128,15,34,406,340
128,15,35,430,335
128,15,36,432,339
128,15,37,411,360
128,15,38,451,356
128,15,39,406,342
128,15,40,430,335
128,15,41,427,337
128,15,42,433,334
128,15,43,451,354
128,15,44,406,389
128,15,45,416,347
128,15,46,446,339
128,15,47,440,341
128,15,48,527,342
128,15,49,411,352
128,15,50,413,362
128,15,51,408,341
128,15,52,430,369
128,15,53,438,348
128,15,54,433,334
128,15,55,409,357
128,15,56,411,340
128,15,57,407,396
128,15,58,434,328
128,15,59,432,336
128,15,60,414,364
128,15,61,406,364
128,15,62,408,377
128,15,63,409,328
128,15,64,428,334
128,15,65,434,334
128,15,66,416,362
128,15,67,452,360
128,15,68,411,336
128,15,69,433,342
128,15,70,432,339
128,15,71,408,359
128,15,72,445,363
128,15,73,415,340
128,15,74,408,338
128,15,75,427,347
128,15,76,429,333
128,15,77,446,351
128,15,78,420,359
128,15,79,406,339
128,15,80,427,334
128,15,81,439,335
128,15,82,489,339
128,15,83,411,349
128,15,84,405,339
128,15,85,411,341
128,15,86,425,335
128,15,87,470,337
128,15,88,416,356
128,15,89,407,356
128,15,90,405,330
128,15,91,427,326
128,15,92,437,332
128,15,93,411,365
128,15,94,413,360
128,15,95,407,340
128,15,96,436,395
128,15,97,436,335
128,15,98,439,332
128,15,99,438,358
128,20,0,612,500
128,20,1,692,458
128,20,2,577,449
128,20,3,584,457
128,20,4,570,492
128,20,5,543,471
128,20,6,546,474
128,20,7,542,478
128,20,8,585,470
128,20,9,546,476
128,20,10,548,461
128,20,11,573,440
128,20,12,607,452
128,20,13,576,445
128,20,14,571,449
128,20,15,562,481
128,20,16,561,453
128,20,17,563,445
128,20,18,561,442
128,20,19,537,505
128,20,20,556,477
128,20,21,548,461
128,20,22,543,460
128,20,23,580,464
128,20,24,545,477
128,20,25,568,444
128,20,26,570,448
128,20,27,612,438
128,20,28,596,447
128,20,29,562,449
128,20,30,565,496
128,20,31,569,481
128,20,32,541,485
128,20,33,539,478
128,20,34,614,458
128,20,35,544,467
128,20,36,540,465
128,20,37,544,472
128,20,38,609,483
128,20,39,577,443
128,20,40,567,455
128,20,41,562,483
128,20,42,562,442
128,20,43,562,451
128,20,44,565,473
128,20,45,540,499
128,20,46,550,469
128,20,47,543,467
128,20,48,580,462
128,20,49,583,455
128,20,50,569,433
128,20,51,573,443
128,20,52,582,452
128,20,53,568,441
128,20,54,571,440
128,20,55,570,452
128,20,56,561,513
128,20,57,558,474
128,20,58,539,485
128,20,59,543,462
128,20,60,599,465
128,20,61,544,470
128,20,62,542,470
128,20,63,568,447
128,20,64,602,454
128,20,65,567,449
128,20,66,567,433
128,20,67,576,542
128,20,68,569,452
128,20,69,540,493
128,20,70,540,468
128,20,71,591,460
128,20,72,545,461
128,20,73,543,473
128,20,74,543,460
128,20,75,604,465
128,20,76,563,446
128,20,77,581,445
128,20,78,568,493
128,20,79,606,450
128,20,80,562,455
128,20,81,561,475
128,20,82,542,510
128,20,83,548,470
128,20,84,550,462
128,20,85,569,462
128,20,86,586,469
128,20,87,570,440
128,20,88,574,446
128,20,89,575,439
128,20,90,585,460
128,20,91,569,440
128,20,92,564,446
128,20,93,568,486
128,20,94,551,461
128,20,95,540,460
128,20,96,536,469
128,20,97,585,467
128,20,98,547,462
128,20,99,547,454
512,1,0,303,305
512,1,1,399,297
512,1,2,300,290
512,1,3,298,276
512,1,4,291,277
512,1,5,292,299
512,1,6,292,270
512,1,7,293,261
512,1,8,331,275
512,1,9,320,255
512,1,10,319,251
512,1,11,297,279
512,1,12,299,280
512,1,13,291,257
512,1,14,292,311
512,1,15,308,275
512,1,16,292,293
512,1,17,293,251
512,1,18,317,270
512,1,19,318,254
512,1,20,319,264
512,1,21,296,299
512,1,22,298,284
512,1,23,342,295
512,1,24,292,276
512,1,25,292,269
512,1,26,292,281
512,1,27,292,275
512,1,28,327,297
512,1,29,331,290
512,1,30,301,263
512,1,31,320,259
512,1,32,319,251
512,1,33,318,275
512,1,34,298,276
512,1,35,298,287
512,1,36,336,295
512,1,37,308,277
512,1,38,291,256
512,1,39,293,276
512,1,40,291,250
512,1,41,319,250
512,1,42,318,250
512,1,43,322,255
512,1,44,300,299
512,1,45,340,278
512,1,46,291,258
512,1,47,291,256
512,1,48,292,276
512,1,49,292,250
512,1,50,318,254
512,1,51,324,259
512,1,52,329,254
512,1,53,298,279
512,1,54,348,288
512,1,55,299,285
512,1,56,290,263
512,1,57,295,256
512,1,58,292,319
512,1,59,296,289
512,1,60,319,275
512,1,61,318,250
512,1,62,316,274
512,1,63,343,277
512,1,64,301,284
512,1,65,298,275
512,1,66,292,259
512,1,67,293,314
512,1,68,294,275
512,1,69,292,252
512,1,70,316,274
512,1,71,319,251
512,1,72,325,251
512,1,73,298,277
512,1,74,298,299
512,1,75,292,262
512,1,76,291,325
