n,rounds,trial,prove_us,verify_us
512,1,77,293,268
512,1,78,292,271
512,1,79,322,250
512,1,80,317,276
512,1,81,317,274
512,1,82,322,270
512,1,83,297,291
512,1,84,298,275
512,1,85,291,314
512,1,86,291,276
512,1,87,292,256
512,1,88,292,260
512,1,89,318,275
512,1,90,319,266
512,1,91,322,251
512,1,92,301,281
512,1,93,298,285
512,1,94,338,278
512,1,95,300,257
512,1,96,292,256
512,1,97,291,251
512,1,98,293,275
512,1,99,321,250
512,2,0,609,520
512,2,1,590,535
512,2,2,610,520
512,2,3,589,556
512,2,4,619,558
512,2,5,589,570
512,2,6,620,521
512,2,7,631,554
512,2,8,622,505
512,2,9,582,561
512,2,10,682,526
512,2,11,581,531
512,2,12,642,520
512,2,13,583,532
512,2,14,614,515
512,2,15,608,577
512,2,16,630,540
512,2,17,652,572
512,2,18,655,499
512,2,19,617,530
512,2,20,588,532
512,2,21,612,538
512,2,22,589,534
512,2,23,615,578
512,2,24,592,529
512,2,25,619,506
512,2,26,626,571
512,2,27,616,499
512,2,28,585,570
512,2,29,654,536
512,2,30,584,536
512,2,31,618,515
512,2,32,611,558
512,2,33,648,546
512,2,34,610,614
512,2,35,618,546
512,2,36,609,596
512,2,37,660,543
512,2,38,588,541
512,2,39,616,516
512,2,40,612,542
512,2,41,588,571
512,2,42,608,570
512,2,43,601,543
512,2,44,608,530
512,2,45,625,548
512,2,46,608,514
512,2,47,589,544
512,2,48,660,520
512,2,49,588,540
512,2,50,616,585
512,2,51,583,557
512,2,52,615,525
512,2,53,582,605
512,2,54,637,513
512,2,55,586,575
512,2,56,660,539
512,2,57,585,532
512,2,58,613,524
512,2,59,618,554
512,2,60,629,526
512,2,61,609,588
512,2,62,616,501
512,2,63,628,580
512,2,64,630,577
512,2,65,610,568
512,2,66,590,551
512,2,67,613,560
512,2,68,589,529
512,2,69,609,553
512,2,70,603,540
512,2,71,616,524
512,2,72,627,526
512,2,73,618,528
512,2,74,583,552
512,2,75,682,510
512,2,76,582,532
512,2,77,613,551
512,2,78,583,548
512,2,79,615,547
512,2,80,613,574
512,2,81,614,539
512,2,82,613,531
512,2,83,625,542
512,2,84,611,509
512,2,85,589,560
512,2,86,611,515
512,2,87,594,552
512,2,88,617,579
512,2,89,592,526
512,2,90,618,553
512,2,91,627,554
512,2,92,622,543
512,2,93,593,524
512,2,94,654,543
512,2,95,587,538
512,2,96,635,583
512,2,97,594,557
512,2,98,613,550
512,2,99,582,577
512,3,0,911,814
512,3,1,905,847
512,3,2,910,815
512,3,3,905,840
512,3,4,906,809
512,3,5,907,829
512,3,6,914,801
512,3,7,901,836
512,3,8,900,827
512,3,9,950,824
512,3,10,911,810
512,3,11,947,804
512,3,12,896,807
512,3,13,975,784
512,3,14,903,810
512,3,15,944,756
512,3,16,908,842
512,3,17,949,818
512,3,18,911,804
512,3,19,945,786
512,3,20,907,811
512,3,21,947,788
512,3,22,906,813
512,3,23,980,805
512,3,24,911,816
512,3,25,905,809
512,3,26,912,782
512,3,27,941,802
512,3,28,909,830
512,3,29,887,802
512,3,30,892,895
512,3,31,914,784
512,3,32,904,839
512,3,33,934,805
512,3,34,931,878
512,3,35,915,789
512,3,36,914,829
512,3,37,912,781
512,3,38,914,849
512,3,39,909,828
512,3,40,909,835
512,3,41,910,816
512,3,42,902,864
512,3,43,907,850
512,3,44,952,806
512,3,45,905,785
512,3,46,949,853
512,3,47,903,804
512,3,48,997,777
512,3,49,909,780
512,3,50,944,833
512,3,51,905,850
512,3,52,993,803
512,3,53,910,825
512,3,54,944,807
512,3,55,909,817
512,3,56,956,818
512,3,57,899,836
512,3,58,905,788
512,3,59,906,839
512,3,60,909,813
512,3,61,914,783
512,3,62,882,825
512,3,63,881,825
512,3,64,911,814
512,3,65,907,835
512,3,66,917,849
512,3,67,906,872
512,3,68,921,815
512,3,69,914,830
512,3,70,913,825
512,3,71,934,837
512,3,72,911,823
512,3,73,912,856
512,3,74,903,784
512,3,75,901,847
512,3,76,900,828
512,3,77,951,782
512,3,78,913,813
512,3,79,954,805
512,3,80,880,827
512,3,81,952,781
512,3,82,922,805
512,3,83,954,798
512,3,84,908,803
512,3,85,945,817
512,3,86,910,806
512,3,87,951,836
512,3,88,918,785
512,3,89,961,787
512,3,90,912,822
512,3,91,958,803
512,3,92,915,824
512,3,93,947,820
512,3,94,893,848
512,3,95,941,780
512,3,96,910,849
512,3,97,913,835
512,3,98,908,830
512,3,99,907,846
512,5,0,1538,1350
512,5,1,1534,1370
512,5,2,1535,1375
512,5,3,1521,1338
512,5,4,1577,1405
512,5,5,1671,1363
512,5,6,1529,1401
512,5,7,1493,1436
512,5,8,1498,1351
512,5,9,1589,1333
512,5,10,1555,1321
512,5,11,1501,1384
512,5,12,1499,1391
512,5,13,1522,1346
512,5,14,1597,1341
512,5,15,1578,1310
512,5,16,1533,1367
512,5,17,1509,1381
512,5,18,1522,1328
512,5,19,1519,1350
512,5,20,1537,1315
512,5,21,1536,1378
512,5,22,1549,1371
512,5,23,1522,1360
512,5,24,1494,1378
512,5,25,1582,1357
512,5,26,1587,1340
512,5,27,1552,1358
512,5,28,1531,1413
512,5,29,1499,1382
512,5,30,1571,1369
512,5,31,1582,1353
512,5,32,1525,1400
512,5,33,1492,1462
512,5,34,1525,1293
512,5,35,1568,1326
512,5,36,1820,1378
512,5,37,1550,1387
512,5,38,1521,1390
512,5,39,1521,1390
512,5,40,1509,1344
512,5,41,1550,1371
512,5,42,1562,1344
512,5,43,1520,1369
512,5,44,1540,1448
512,5,45,1494,1391
512,5,46,1568,1387
512,5,47,1613,1338
512,5,48,1510,1460
512,5,49,1502,1466
512,5,50,1513,1330
512,5,51,1548,1359
512,5,52,1555,1392
512,5,53,1537,1377
512,5,54,1529,1372
512,5,55,1536,1378
512,5,56,1499,1350
512,5,57,1531,1406
512,5,58,1575,1335
512,5,59,1538,1352
512,5,60,1512,1426
512,5,61,1531,1400
512,5,62,1567,1302
512,5,63,1581,1335
512,5,64,1495,1383
512,5,65,1494,1397
512,5,66,1519,1401
512,5,67,1555,1356
512,5,68,1591,1372
512,5,69,1491,1441
512,5,70,1492,1373
512,5,71,1512,1295
512,5,72,1526,1328
512,5,73,1568,1355
512,5,74,1564,1378
512,5,75,1532,1393
512,5,76,1524,1324
512,5,77,1538,1363
512,5,78,1534,1401
512,5,79,1537,1406
512,5,80,1528,1393
512,5,81,1535,1357
512,5,82,1505,1326
512,5,83,1555,1340
512,5,84,1566,1320
512,5,85,1518,1380
512,5,86,1568,1415
512,5,87,1495,1400
512,5,88,1549,1348
512,5,89,1566,1357
512,5,90,1560,1344
512,5,91,1498,1453
512,5,92,1494,1361
512,5,93,1553,1510
512,5,94,1564,1415
512,5,95,1569,1362
512,5,96,1529,1409
512,5,97,1533,1393
512,5,98,1510,1311
512,5,99,1533,1427
512,7,0,2159,1977
512,7,1,2192,1944
512,7,2,2248,1920
512,7,3,2117,1962
512,7,4,2115,1971
512,7,5,2136,1907
512,7,6,2137,1919
512,7,7,2174,1920
512,7,8,2196,1889
512,7,9,2182,1901
512,7,10,2187,1813
512,7,11,2182,1901
512,7,12,2172,1885
512,7,13,2116,1960
512,7,14,2160,1947
512,7,15,2124,1897
512,7,16,2124,1943
512,7,17,2159,1874
512,7,18,2139,1878
512,7,19,2155,1901
512,7,20,2147,1874
512,7,21,2143,1924
512,7,22,2142,1863
512,7,23,2170,1936
512,7,24,2128,1936
512,7,25,2121,1916
512,7,26,2106,1940
512,7,27,2105,1906
512,7,28,2158,1890
512,7,29,2150,1939
512,7,30,2179,1898
512,7,31,2173,1853
512,7,32,2204,1915
512,7,33,2122,1957
512,7,34,2295,1966
512,7,35,2126,1946
512,7,36,2105,1916
512,7,37,2138,1902
512,7,38,2162,1857
512,7,39,2150,1894
512,7,40,2180,1835
512,7,41,2180,1855
512,7,42,2179,1941
512,7,43,2107,1883
512,7,44,2121,1974
512,7,45,2108,1939
512,7,46,2138,1983
512,7,47,2113,1941
512,7,48,2163,1846
512,7,49,2177,1869
512,7,50,2148,1910
512,7,51,2178,1889
512,7,52,2142,1855
512,7,53,2241,1879
512,7,54,2110,1836
512,7,55,2105,1881
512,7,56,2112,1898
512,7,57,2152,1988
512,7,58,2157,1937
512,7,59,2175,1859
512,7,60,2149,1833
512,7,61,2218,1909
512,7,62,2191,1890
512,7,63,2150,1893
512,7,64,2149,1853
512,7,65,2112,1990
512,7,66,2107,1899
512,7,67,2100,1927
512,7,68,2125,1904
512,7,69,2109,1940
512,7,70,2205,1896
512,7,71,2155,1874
512,7,72,2172,1924
512,7,73,2198,1920
512,7,74,2169,1889
512,7,75,2143,1875
512,7,76,2116,1965
512,7,77,2140,1997
512,7,78,2100,1936
512,7,79,2108,1935
512,7,80,2175,1893
512,7,81,2144,1873
512,7,82,2158,1921
512,7,83,2160,1884
512,7,84,2142,1887
512,7,85,2127,1820
512,7,86,2127,1974
512,7,87,2110,1930
512,7,88,2121,1878
512,7,89,2100,1889
512,7,90,2099,1972
512,7,91,2167,1858
512,7,92,2147,1896
512,7,93,2155,1893
512,7,94,2168,1904
512,7,95,2159,1889
512,7,96,2134,1892
512,7,97,2114,1938
512,7,98,2105,1970
512,7,99,2097,1925
512,10,0,3093,2689
512,10,1,3069,2759
512,10,2,3090,2714
512,10,3,3086,2736
512,10,4,3064,2722
512,10,5,3011,2736
512,10,6,3051,2742
512,10,7,3045,2745
512,10,8,3095,2760
512,10,9,3034,2764
512,10,10,3046,2769
512,10,11,3038,2682
512,10,12,3039,2721
512,10,13,3065,2729
512,10,14,3054,2746
512,10,15,3072,2716
512,10,16,3091,2764
512,10,17,3085,2671
512,10,18,3036,2750
512,10,19,3055,2712
512,10,20,3044,2705
512,10,21,3065,2715
512,10,22,3051,2754
512,10,23,3064,2721
512,10,24,3054,2715
512,10,25,3044,2732
512,10,26,3015,2704
512,10,27,3059,2779
512,10,28,3030,2743
512,10,29,3089,2779
512,10,30,3050,2740
512,10,31,3059,2712
512,10,32,3030,2652
512,10,33,3040,2714
512,10,34,3038,2675
512,10,35,3120,2751
512,10,36,3058,2698
512,10,37,3095,2767
512,10,38,3081,2745
512,10,39,3011,2784
512,10,40,3064,2637
512,10,41,3043,2750
512,10,42,3069,2817
512,10,43,3018,2773
512,10,44,3076,2762
512,10,45,3001,2714
512,10,46,3066,2721
512,10,47,3037,2715
512,10,48,3070,2743
512,10,49,3119,2731
512,10,50,3095,2691
512,10,51,3053,2665
512,10,52,3046,2795
512,10,53,3061,2721
512,10,54,3060,2691
512,10,55,3035,2726
512,10,56,3049,2780
512,10,57,3032,2717
512,10,58,3004,2690
512,10,59,3061,2765
512,10,60,3050,2752
512,10,61,3085,2773
512,10,62,3036,2765
512,10,63,3052,2686
512,10,64,3048,2676
512,10,65,3037,2735
512,10,66,3077,2640
512,10,67,3073,2742
512,10,68,3050,2657
512,10,69,3086,2748
512,10,70,3040,2764
512,10,71,3181,2734
512,10,72,3068,2641
512,10,73,3073,2761
512,10,74,3120,2677
512,10,75,3022,2683
512,10,76,3055,2736
512,10,77,2999,2741
512,10,78,3052,2781
512,10,79,3003,2734
512,10,80,3046,2719
512,10,81,3033,2711
512,10,82,3061,2733
512,10,83,3009,2741
512,10,84,3048,2717
512,10,85,3043,2686
512,10,86,3082,2711
512,10,87,3042,2635
512,10,88,3045,2733
512,10,89,3043,2662
512,10,90,3050,2731
512,10,91,3039,2675
512,10,92,3328,2722
512,10,93,3133,2742
512,10,94,3050,2751
512,10,95,3086,2804
512,10,96,3023,2759
512,10,97,3055,2811
512,10,98,3003,2730
512,10,99,3082,2716
512,15,0,4649,4169
512,15,1,4657,4071
512,15,2,4568,4117
512,15,3,4586,4094
512,15,4,4612,4155
512,15,5,4660,4083
512,15,6,4643,4171
512,15,7,4612,4051
512,15,8,4707,4040
512,15,9,4650,4152
512,15,10,4619,4121
512,15,11,4586,4147
512,15,12,4579,4223
512,15,13,4650,4129
512,15,14,4674,4080
512,15,15,4613,4081
512,15,16,4631,4107
512,15,17,4652,4074
512,15,18,4640,4123
512,15,19,4660,4157
512,15,20,4576,4050
512,15,21,4610,4078
512,15,22,4596,4143
512,15,23,4607,4113
512,15,24,4701,4099
512,15,25,4696,4118
512,15,26,4606,4095
512,15,27,4602,4143
512,15,28,4658,4072
512,15,29,4646,4080
512,15,30,4566,4081
512,15,31,4563,4041
512,15,32,4618,4279
512,15,33,4655,4113
512,15,34,4636,4090
512,15,35,4677,4164
512,15,36,4660,4083
512,15,37,4609,4070
512,15,38,4613,4081
512,15,39,4627,4165
512,15,40,4582,4103
512,15,41,4625,4222
512,15,42,4645,4111
512,15,43,4664,3994
512,15,44,4604,4040
512,15,45,4644,4165
512,15,46,4676,4068
512,15,47,4667,4074
512,15,48,4607,4146
512,15,49,4611,4150
512,15,50,4607,4162
512,15,51,4595,4181
512,15,52,4594,4104
512,15,53,4646,4048
512,15,54,4670,4091
512,15,55,4610,4058
512,15,56,4663,4068
512,15,57,4638,4137
512,15,58,4649,4082
512,15,59,4641,4106
512,15,60,4598,4129
512,15,61,4585,4109
512,15,62,4589,4081
512,15,63,4613,4194
512,15,64,4648,4076
512,15,65,4657,4101
512,15,66,4616,4099
512,15,67,4624,4149
512,15,68,4678,4154
512,15,69,4631,4041
512,15,70,4609,4078
512,15,71,4606,4129
512,15,72,4603,4151
512,15,73,4595,4122
512,15,74,4610,4122
512,15,75,4642,4146
512,15,76,4673,4044
512,15,77,4609,4067
512,15,78,4620,4099
512,15,79,4635,4105
512,15,80,4650,4111
512,15,81,4611,4067
512,15,82,4602,4102
512,15,83,4603,4150
512,15,84,4587,4130
512,15,85,4604,4057
512,15,86,4610,4107
512,15,87,4645,4165
512,15,88,4604,4074
512,15,89,4638,4125
512,15,90,4661,4162
512,15,91,4623,4294
512,15,92,4662,4212
512,15,93,4840,4240
512,15,94,4735,4114
512,15,95,4590,4166
512,15,96,4634,4178
512,15,97,4653,4032
512,15,98,4715,4051
512,15,99,4599,4025
512,20,0,6439,5427
512,20,1,6206,5454
512,20,2,6272,5341
512,20,3,6182,5357
512,20,4,6177,5466
512,20,5,6279,5527
512,20,6,6172,5425
512,20,7,6166,5457
512,20,8,6177,5501
512,20,9,6199,5481
512,20,10,6237,5482
512,20,11,6201,5464
512,20,12,6260,5442
512,20,13,6157,5397
512,20,14,6118,5373
512,20,15,6211,5332
512,20,16,6167,5411
512,20,17,6165,5439
512,20,18,6166,5405
512,20,19,6138,5397
512,20,20,6154,5488
512,20,21,6167,5526
512,20,22,6202,5517
512,20,23,6175,5521
512,20,24,6244,5439
512,20,25,6221,5419
512,20,26,6169,5543
512,20,27,6168,5453
512,20,28,6176,5589
512,20,29,6194,5579
512,20,30,6192,5448
512,20,31,6124,5489
512,20,32,6165,5463
512,20,33,6130,5467
512,20,34,6170,5524
512,20,35,6199,5597
512,20,36,6180,5510
512,20,37,6150,5426
512,20,38,6186,5636
512,20,39,6184,5410
512,20,40,6161,5529
512,20,41,6153,5484
512,20,42,6285,5578
512,20,43,6230,5456
512,20,44,6239,5381
512,20,45,6301,5443
512,20,46,6229,5480
512,20,47,6237,5393
512,20,48,6348,5529
512,20,49,6277,5463
512,20,50,6271,5420
512,20,51,6222,5469
512,20,52,6223,5401
512,20,53,6205,5476
512,20,54,6166,5372
512,20,55,6237,5411
512,20,56,6253,5462
512,20,57,6195,5509
512,20,58,6300,5519
512,20,59,6180,5361
512,20,60,6237,5327
512,20,61,6240,5386
512,20,62,6206,5380
512,20,63,6229,5406
512,20,64,6186,5438
512,20,65,6260,5426
512,20,66,6257,5489
512,20,67,6239,5380
512,20,68,6318,5448
512,20,69,6211,5437
512,20,70,6247,5473
512,20,71,6270,5551
512,20,72,6234,5572
512,20,73,6269,5411
512,20,74,6354,5682
512,20,75,6244,5602
512,20,76,6288,5538
512,20,77,6259,5455
512,20,78,6436,5645
512,20,79,6223,5605
512,20,80,6329,5567
512,20,81,6319,5471
512,20,82,6467,5530
512,20,83,6292,5553
512,20,84,6278,5717
512,20,85,6322,5579
512,20,86,6305,5525
512,20,87,6292,5594
512,20,88,6326,5570
512,20,89,6202,5525
512,20,90,6230,5591
512,20,91,6305,5443
512,20,92,6267,5524
512,20,93,6156,5462
512,20,94,6219,5500
512,20,95,6218,5549
512,20,96,6202,5463
512,20,97,6163,5508
512,20,98,6238,5580
512,20,99,6205,5465
1024,1,0,330,338
1024,1,1,349,286
1024,1,2,384,313
1024,1,3,354,281
1024,1,4,303,275
1024,1,5,331,271
1024,1,6,366,273
1024,1,7,355,261
1024,1,8,285,315
1024,1,9,320,293
1024,1,10,308,344
1024,1,11,301,317
1024,1,12,319,300
1024,1,13,319,299
1024,1,14,318,288
1024,1,15,291,296
1024,1,16,362,311
1024,1,17,340,337
1024,1,18,281,291
1024,1,19,286,283
1024,1,20,276,270
1024,1,21,298,275
1024,1,22,275,279
1024,1,23,342,279
1024,1,24,347,280
1024,1,25,289,273
1024,1,26,320,334
1024,1,27,275,367
1024,1,28,295,310
1024,1,29,288,350
1024,1,30,300,308
1024,1,31,270,317
1024,1,32,314,327
1024,1,33,283,296
1024,1,34,279,290
1024,1,35,281,275
1024,1,36,350,403
1024,1,37,451,311
1024,1,38,274,639
1024,1,39,372,283
1024,1,40,311,289
1024,1,41,316,280
1024,1,42,278,310
1024,1,43,296,345
1024,1,44,304,312
1024,1,45,287,285
1024,1,46,283,289
1024,1,47,290,280
1024,1,48,329,283
1024,1,49,284,283
1024,1,50,314,286
1024,1,51,314,276
1024,1,52,393,268
1024,1,53,337,279
1024,1,54,281,309
1024,1,55,308,325
1024,1,56,316,340
1024,1,57,304,311
1024,1,58,332,301
