n,scheme,trial,latency_us
128,hybrid,0,153
128,hash_only,0,2
128,lattice_only,0,306
128,hybrid,1,68
128,hash_only,1,1
128,lattice_only,1,303
128,hybrid,2,66
128,hash_only,2,1
128,lattice_only,2,294
128,hybrid,3,93
128,hash_only,3,1
128,lattice_only,3,291
128,hybrid,4,68
128,hash_only,4,1
128,lattice_only,4,294
128,hybrid,5,67
128,hash_only,5,1
128,lattice_only,5,303
128,hybrid,6,68
128,hash_only,6,1
128,lattice_only,6,294
128,hybrid,7,74
128,hash_only,7,1
128,lattice_only,7,294
128,hybrid,8,92
128,hash_only,8,1
128,lattice_only,8,288
128,hybrid,9,68
128,hash_only,9,1
128,lattice_only,9,288
128,hybrid,10,68
128,hash_only,10,1
128,lattice_only,10,285
128,hybrid,11,67
128,hash_only,11,1
128,lattice_only,11,297
128,hybrid,12,72
128,hash_only,12,1
128,lattice_only,12,291
128,hybrid,13,90
128,hash_only,13,1
128,lattice_only,13,288
128,hybrid,14,66
128,hash_only,14,1
128,lattice_only,14,291
128,hybrid,15,67
128,hash_only,15,1
128,lattice_only,15,291
128,hybrid,16,67
128,hash_only,16,1
128,lattice_only,16,288
128,hybrid,17,132
128,hash_only,17,1
128,lattice_only,17,375
128,hybrid,18,67
128,hash_only,18,1
128,lattice_only,18,291
128,hybrid,19,67
128,hash_only,19,1
128,lattice_only,19,288
128,hybrid,20,67
128,hash_only,20,1
128,lattice_only,20,294
128,hybrid,21,67
128,hash_only,21,1
128,lattice_only,21,309
128,hybrid,22,67
128,hash_only,22,1
128,lattice_only,22,378
128,hybrid,23,67
128,hash_only,23,1
128,lattice_only,23,306
128,hybrid,24,67
128,hash_only,24,1
128,lattice_only,24,291
128,hybrid,25,67
128,hash_only,25,1
128,lattice_only,25,288
128,hybrid,26,67
128,hash_only,26,1
128,lattice_only,26,309
128,hybrid,27,67
128,hash_only,27,1
128,lattice_only,27,363
128,hybrid,28,69
128,hash_only,28,1
128,lattice_only,28,291
128,hybrid,29,66
128,hash_only,29,1
128,lattice_only,29,291
128,hybrid,30,65
128,hash_only,30,1
128,lattice_only,30,291
128,hybrid,31,68
128,hash_only,31,1
128,lattice_only,31,303
128,hybrid,32,66
128,hash_only,32,24
128,lattice_only,32,294
128,hybrid,33,66
128,hash_only,33,1
128,lattice_only,33,291
128,hybrid,34,66
128,hash_only,34,1
128,lattice_only,34,294
128,hybrid,35,66
128,hash_only,35,1
128,lattice_only,35,294
128,hybrid,36,66
128,hash_only,36,1
128,lattice_only,36,453
128,hybrid,37,99
128,hash_only,37,1
128,lattice_only,37,288
128,hybrid,38,67
128,hash_only,38,1
128,lattice_only,38,291
128,hybrid,39,66
128,hash_only,39,1
128,lattice_only,39,294
128,hybrid,40,67
128,hash_only,40,1
128,lattice_only,40,294
128,hybrid,41,72
128,hash_only,41,1
128,lattice_only,41,369
128,hybrid,42,68
128,hash_only,42,1
128,lattice_only,42,291
128,hybrid,43,67
128,hash_only,43,1
128,lattice_only,43,291
128,hybrid,44,67
128,hash_only,44,1
128,lattice_only,44,288
128,hybrid,45,66
128,hash_only,45,1
128,lattice_only,45,294
128,hybrid,46,68
128,hash_only,46,1
128,lattice_only,46,363
128,hybrid,47,67
128,hash_only,47,1
128,lattice_only,47,294
128,hybrid,48,67
128,hash_only,48,1
128,lattice_only,48,291
128,hybrid,49,66
128,hash_only,49,1
128,lattice_only,49,291
128,hybrid,50,67
128,hash_only,50,1
128,lattice_only,50,303
128,hybrid,51,66
128,hash_only,51,1
128,lattice_only,51,360
128,hybrid,52,67
128,hash_only,52,1
128,lattice_only,52,294
128,hybrid,53,67
128,hash_only,53,1
128,lattice_only,53,294
128,hybrid,54,67
128,hash_only,54,1
128,lattice_only,54,294
128,hybrid,55,67
128,hash_only,55,1
128,lattice_only,55,486
128,hybrid,56,93
128,hash_only,56,2
128,lattice_only,56,297
128,hybrid,57,66
128,hash_only,57,1
128,lattice_only,57,300
128,hybrid,58,67
128,hash_only,58,1
128,lattice_only,58,291
128,hybrid,59,67
128,hash_only,59,1
128,lattice_only,59,291
128,hybrid,60,73
128,hash_only,60,1
128,lattice_only,60,297
128,hybrid,61,95
128,hash_only,61,1
128,lattice_only,61,291
128,hybrid,62,66
128,hash_only,62,1
128,lattice_only,62,285
128,hybrid,63,67
128,hash_only,63,1
128,lattice_only,63,291
128,hybrid,64,66
128,hash_only,64,1
128,lattice_only,64,294
128,hybrid,65,72
128,hash_only,65,1
128,lattice_only,65,288
128,hybrid,66,91
128,hash_only,66,1
128,lattice_only,66,297
128,hybrid,67,67
128,hash_only,67,1
128,lattice_only,67,294
128,hybrid,68,66
128,hash_only,68,1
128,lattice_only,68,291
128,hybrid,69,67
128,hash_only,69,1
128,lattice_only,69,297
128,hybrid,70,71
128,hash_only,70,1
128,lattice_only,70,288
128,hybrid,71,68
128,hash_only,71,1
128,lattice_only,71,294
128,hybrid,72,67
128,hash_only,72,1
128,lattice_only,72,294
128,hybrid,73,67
128,hash_only,73,1
128,lattice_only,73,294
128,hybrid,74,67
128,hash_only,74,1
128,lattice_only,74,288
128,hybrid,75,69
128,hash_only,75,2
128,lattice_only,75,291
128,hybrid,76,68
128,hash_only,76,1
128,lattice_only,76,294
128,hybrid,77,66
128,hash_only,77,1
128,lattice_only,77,291
128,hybrid,78,67
128,hash_only,78,1
128,lattice_only,78,291
128,hybrid,79,67
128,hash_only,79,1
128,lattice_only,79,288
128,hybrid,80,91
128,hash_only,80,1
128,lattice_only,80,294
128,hybrid,81,66
128,hash_only,81,1
128,lattice_only,81,291
128,hybrid,82,65
128,hash_only,82,1
128,lattice_only,82,288
128,hybrid,83,67
128,hash_only,83,1
128,lattice_only,83,291
128,hybrid,84,75
128,hash_only,84,1
128,lattice_only,84,294
128,hybrid,85,91
128,hash_only,85,1
128,lattice_only,85,288
128,hybrid,86,67
128,hash_only,86,1
128,lattice_only,86,291
128,hybrid,87,67
128,hash_only,87,1
128,lattice_only,87,294
128,hybrid,88,67
128,hash_only,88,1
128,lattice_only,88,288
128,hybrid,89,80
128,hash_only,89,1
128,lattice_only,89,291
128,hybrid,90,94
128,hash_only,90,1
128,lattice_only,90,291
128,hybrid,91,68
128,hash_only,91,1
128,lattice_only,91,294
128,hybrid,92,67
128,hash_only,92,1
128,lattice_only,92,294
128,hybrid,93,68
128,hash_only,93,1
128,lattice_only,93,288
128,hybrid,94,314
128,hash_only,94,1
128,lattice_only,94,297
128,hybrid,95,66
128,hash_only,95,1
128,lattice_only,95,294
128,hybrid,96,68
128,hash_only,96,1
128,lattice_only,96,291
128,hybrid,97,66
128,hash_only,97,1
128,lattice_only,97,309
128,hybrid,98,67
128,hash_only,98,1
128,lattice_only,98,369
128,hybrid,99,67
128,hash_only,99,1
128,lattice_only,99,330
128,hybrid,100,67
128,hash_only,100,1
128,lattice_only,100,294
128,hybrid,101,68
128,hash_only,101,1
128,lattice_only,101,294
128,hybrid,102,66
128,hash_only,102,1
128,lattice_only,102,303
128,hybrid,103,67
128,hash_only,103,1
128,lattice_only,103,372
128,hybrid,104,67
128,hash_only,104,1
128,lattice_only,104,291
128,hybrid,105,65
128,hash_only,105,1
128,lattice_only,105,291
128,hybrid,106,66
128,hash_only,106,1
128,lattice_only,106,288
128,hybrid,107,67
128,hash_only,107,1
128,lattice_only,107,306
128,hybrid,108,66
128,hash_only,108,1
128,lattice_only,108,300
128,hybrid,109,67
128,hash_only,109,1
128,lattice_only,109,294
128,hybrid,110,67
128,hash_only,110,1
128,lattice_only,110,288
128,hybrid,111,67
128,hash_only,111,1
128,lattice_only,111,291
128,hybrid,112,66
128,hash_only,112,1
128,lattice_only,112,495
128,hybrid,113,68
128,hash_only,113,1
128,lattice_only,113,294
128,hybrid,114,67
128,hash_only,114,1
128,lattice_only,114,288
128,hybrid,115,67
128,hash_only,115,1
128,lattice_only,115,291
128,hybrid,116,67
128,hash_only,116,1
128,lattice_only,116,294
128,hybrid,117,72
128,hash_only,117,1
128,lattice_only,117,375
128,hybrid,118,68
128,hash_only,118,1
128,lattice_only,118,291
128,hybrid,119,67
128,hash_only,119,1
128,lattice_only,119,291
128,hybrid,120,67
128,hash_only,120,1
128,lattice_only,120,288
128,hybrid,121,67
128,hash_only,121,1
128,lattice_only,121,303
128,hybrid,122,67
128,hash_only,122,1
128,lattice_only,122,363
128,hybrid,123,68
128,hash_only,123,1
128,lattice_only,123,291
128,hybrid,124,67
128,hash_only,124,1
128,lattice_only,124,294
128,hybrid,125,67
128,hash_only,125,1
128,lattice_only,125,288
128,hybrid,126,66
128,hash_only,126,1
128,lattice_only,126,306
128,hybrid,127,67
128,hash_only,127,1
128,lattice_only,127,360
128,hybrid,128,68
128,hash_only,128,1
128,lattice_only,128,288
128,hybrid,129,67
128,hash_only,129,1
128,lattice_only,129,294
128,hybrid,130,66
128,hash_only,130,1
128,lattice_only,130,288
128,hybrid,131,66
128,hash_only,131,1
128,lattice_only,131,447
128,hybrid,132,68
128,hash_only,132,1
128,lattice_only,132,300
128,hybrid,133,67
128,hash_only,133,1
128,lattice_only,133,285
128,hybrid,134,66
128,hash_only,134,1
128,lattice_only,134,285
128,hybrid,135,67
128,hash_only,135,1
128,lattice_only,135,291
128,hybrid,136,68
128,hash_only,136,1
128,lattice_only,136,288
128,hybrid,137,92
128,hash_only,137,1
128,lattice_only,137,291
128,hybrid,138,67
128,hash_only,138,1
128,lattice_only,138,291
128,hybrid,139,66
128,hash_only,139,1
128,lattice_only,139,291
128,hybrid,140,66
128,hash_only,140,1
128,lattice_only,140,288
128,hybrid,141,75
128,hash_only,141,1
128,lattice_only,141,285
128,hybrid,142,96
128,hash_only,142,1
128,lattice_only,142,288
128,hybrid,143,67
128,hash_only,143,1
128,lattice_only,143,291
128,hybrid,144,67
128,hash_only,144,1
128,lattice_only,144,282
128,hybrid,145,66
128,hash_only,145,1
128,lattice_only,145,291
128,hybrid,146,72
128,hash_only,146,1
128,lattice_only,146,294
128,hybrid,147,93
128,hash_only,147,1
128,lattice_only,147,306
128,hybrid,148,66
128,hash_only,148,1
128,lattice_only,148,294
128,hybrid,149,67
128,hash_only,149,1
128,lattice_only,149,288
128,hybrid,150,65
128,hash_only,150,1
128,lattice_only,150,294
128,hybrid,151,113
128,hash_only,151,1
128,lattice_only,151,369
128,hybrid,152,68
128,hash_only,152,1
128,lattice_only,152,294
128,hybrid,153,65
128,hash_only,153,1
128,lattice_only,153,294
128,hybrid,154,65
128,hash_only,154,1
128,lattice_only,154,291
128,hybrid,155,67
128,hash_only,155,1
128,lattice_only,155,303
128,hybrid,156,65
128,hash_only,156,1
128,lattice_only,156,363
128,hybrid,157,67
128,hash_only,157,1
128,lattice_only,157,291
128,hybrid,158,67
128,hash_only,158,1
128,lattice_only,158,294
128,hybrid,159,67
128,hash_only,159,1
128,lattice_only,159,294
128,hybrid,160,66
128,hash_only,160,1
128,lattice_only,160,306
128,hybrid,161,65
128,hash_only,161,1
128,lattice_only,161,363
128,hybrid,162,66
128,hash_only,162,1
128,lattice_only,162,288
128,hybrid,163,66
128,hash_only,163,1
128,lattice_only,163,294
128,hybrid,164,65
128,hash_only,164,1
128,lattice_only,164,294
128,hybrid,165,66
128,hash_only,165,1
128,lattice_only,165,309
128,hybrid,166,67
128,hash_only,166,1
128,lattice_only,166,366
128,hybrid,167,67
128,hash_only,167,1
128,lattice_only,167,294
128,hybrid,168,67
128,hash_only,168,1
128,lattice_only,168,297
128,hybrid,169,66
128,hash_only,169,1
128,lattice_only,169,288
128,hybrid,170,67
128,hash_only,170,1
128,lattice_only,170,426
128,hybrid,171,93
128,hash_only,171,1
128,lattice_only,171,294
128,hybrid,172,67
128,hash_only,172,1
128,lattice_only,172,291
128,hybrid,173,67
128,hash_only,173,1
128,lattice_only,173,294
128,hybrid,174,66
128,hash_only,174,1
128,lattice_only,174,294
128,hybrid,175,71
128,hash_only,175,1
128,lattice_only,175,294
128,hybrid,176,90
128,hash_only,176,1
128,lattice_only,176,294
128,hybrid,177,67
128,hash_only,177,1
128,lattice_only,177,288
128,hybrid,178,68
128,hash_only,178,1
128,lattice_only,178,291
128,hybrid,179,68
128,hash_only,179,1
128,lattice_only,179,294
128,hybrid,180,71
128,hash_only,180,1
128,lattice_only,180,288
128,hybrid,181,91
128,hash_only,181,2
128,lattice_only,181,294
128,hybrid,182,66
128,hash_only,182,1
128,lattice_only,182,291
128,hybrid,183,68
128,hash_only,183,1
128,lattice_only,183,291
128,hybrid,184,67
128,hash_only,184,1
128,lattice_only,184,315
128,hybrid,185,72
128,hash_only,185,1
128,lattice_only,185,363
128,hybrid,186,71
128,hash_only,186,1
128,lattice_only,186,312
128,hybrid,187,67
128,hash_only,187,1
128,lattice_only,187,291
128,hybrid,188,68
128,hash_only,188,1
128,lattice_only,188,282
128,hybrid,189,67
128,hash_only,189,1
128,lattice_only,189,300
128,hybrid,190,69
128,hash_only,190,1
128,lattice_only,190,375
128,hybrid,191,67
128,hash_only,191,1
128,lattice_only,191,294
128,hybrid,192,67
128,hash_only,192,1
128,lattice_only,192,297
128,hybrid,193,67
128,hash_only,193,1
128,lattice_only,193,291
128,hybrid,194,67
128,hash_only,194,1
128,lattice_only,194,300
128,hybrid,195,68
128,hash_only,195,1
128,lattice_only,195,294
128,hybrid,196,67
128,hash_only,196,1
128,lattice_only,196,294
128,hybrid,197,66
128,hash_only,197,1
128,lattice_only,197,282
128,hybrid,198,66
128,hash_only,198,1
128,lattice_only,198,294
128,hybrid,199,67
128,hash_only,199,1
128,lattice_only,199,294
256,hybrid,0,255
256,hash_only,0,1
256,lattice_only,0,1254
256,hybrid,1,242
256,hash_only,1,1
256,lattice_only,1,1299
256,hybrid,2,240
256,hash_only,2,1
256,lattice_only,2,1077
256,hybrid,3,247
256,hash_only,3,1
256,lattice_only,3,1074
256,hybrid,4,238
256,hash_only,4,1
256,lattice_only,4,1317
256,hybrid,5,240
256,hash_only,5,1
256,lattice_only,5,1092
256,hybrid,6,243
256,hash_only,6,1
256,lattice_only,6,1080
256,hybrid,7,243
256,hash_only,7,1
256,lattice_only,7,1344
256,hybrid,8,240
256,hash_only,8,1
256,lattice_only,8,1077
256,hybrid,9,270
256,hash_only,9,1
256,lattice_only,9,1077
256,hybrid,10,244
256,hash_only,10,1
256,lattice_only,10,1152
256,hybrid,11,238
256,hash_only,11,1
256,lattice_only,11,1080
256,hybrid,12,242
256,hash_only,12,1
256,lattice_only,12,1056
256,hybrid,13,239
256,hash_only,13,1
256,lattice_only,13,1299
256,hybrid,14,237
256,hash_only,14,1
256,lattice_only,14,1062
256,hybrid,15,242
256,hash_only,15,1
256,lattice_only,15,1143
256,hybrid,16,235
256,hash_only,16,1
256,lattice_only,16,1143
256,hybrid,17,247
256,hash_only,17,1
256,lattice_only,17,1032
256,hybrid,18,234
256,hash_only,18,1
256,lattice_only,18,1113
256,hybrid,19,254
256,hash_only,19,1
256,lattice_only,19,1203
256,hybrid,20,266
256,hash_only,20,1
256,lattice_only,20,1095
256,hybrid,21,255
256,hash_only,21,1
256,lattice_only,21,1113
256,hybrid,22,249
256,hash_only,22,1
256,lattice_only,22,1086
256,hybrid,23,262
256,hash_only,23,1
256,lattice_only,23,1089
256,hybrid,24,256
256,hash_only,24,1
256,lattice_only,24,1134
256,hybrid,25,238
256,hash_only,25,1
256,lattice_only,25,1269
256,hybrid,26,267
256,hash_only,26,1
256,lattice_only,26,1080
256,hybrid,27,246
256,hash_only,27,1
256,lattice_only,27,1167
256,hybrid,28,236
256,hash_only,28,1
256,lattice_only,28,1083
256,hybrid,29,264
256,hash_only,29,1
256,lattice_only,29,1086
256,hybrid,30,241
256,hash_only,30,1
256,lattice_only,30,1143
256,hybrid,31,241
256,hash_only,31,1
256,lattice_only,31,1209
256,hybrid,32,288
256,hash_only,32,1
256,lattice_only,32,1086
256,hybrid,33,244
256,hash_only,33,1
256,lattice_only,33,1170
256,hybrid,34,238
256,hash_only,34,1
256,lattice_only,34,1101
256,hybrid,35,265
256,hash_only,35,1
256,lattice_only,35,1092
256,hybrid,36,241
256,hash_only,36,1
256,lattice_only,36,1140
256,hybrid,37,238
256,hash_only,37,1
256,lattice_only,37,1221
256,hybrid,38,268
256,hash_only,38,1
256,lattice_only,38,1068
256,hybrid,39,243
256,hash_only,39,1
256,lattice_only,39,1146
256,hybrid,40,243
256,hash_only,40,1
256,lattice_only,40,1089
256,hybrid,41,264
256,hash_only,41,1
256,lattice_only,41,1074
256,hybrid,42,240
256,hash_only,42,1
256,lattice_only,42,1158
256,hybrid,43,241
256,hash_only,43,1
256,lattice_only,43,1269
256,hybrid,44,262
256,hash_only,44,1
256,lattice_only,44,1071
256,hybrid,45,243
256,hash_only,45,1
256,lattice_only,45,1161
256,hybrid,46,241
256,hash_only,46,1
256,lattice_only,46,1092
256,hybrid,47,265
256,hash_only,47,1
256,lattice_only,47,1080
256,hybrid,48,245
256,hash_only,48,1
256,lattice_only,48,1134
256,hybrid,49,242
256,hash_only,49,1
256,lattice_only,49,1200
256,hybrid,50,279
256,hash_only,50,1
256,lattice_only,50,1122
256,hybrid,51,244
256,hash_only,51,1
256,lattice_only,51,1140
256,hybrid,52,240
256,hash_only,52,1
256,lattice_only,52,1104
256,hybrid,53,264
256,hash_only,53,1
256,lattice_only,53,1380
256,hybrid,54,312
256,hash_only,54,40
256,lattice_only,54,1533
256,hybrid,55,348
256,hash_only,55,2
256,lattice_only,55,1227
256,hybrid,56,239
256,hash_only,56,1
256,lattice_only,56,1179
256,hybrid,57,241
256,hash_only,57,3
256,lattice_only,57,1089
256,hybrid,58,252
256,hash_only,58,1
256,lattice_only,58,1167
256,hybrid,59,245
256,hash_only,59,1
256,lattice_only,59,1212
256,hybrid,60,247
256,hash_only,60,1
256,lattice_only,60,1080
256,hybrid,61,289
256,hash_only,61,1
256,lattice_only,61,1101
256,hybrid,62,246
256,hash_only,62,1
256,lattice_only,62,1185
256,hybrid,63,248
256,hash_only,63,1
256,lattice_only,63,1086
256,hybrid,64,245
256,hash_only,64,1
256,lattice_only,64,1071
256,hybrid,65,243
256,hash_only,65,1
256,lattice_only,65,1170
256,hybrid,66,239
256,hash_only,66,1
256,lattice_only,66,1068
256,hybrid,67,318
256,hash_only,67,1
256,lattice_only,67,1074
256,hybrid,68,237
256,hash_only,68,1
256,lattice_only,68,1161
256,hybrid,69,239
256,hash_only,69,1
256,lattice_only,69,1077
256,hybrid,70,242
256,hash_only,70,1
256,lattice_only,70,1140
256,hybrid,71,238
256,hash_only,71,1
256,lattice_only,71,1170
256,hybrid,72,253
256,hash_only,72,1
256,lattice_only,72,1086
256,hybrid,73,286
256,hash_only,73,1
256,lattice_only,73,1080
256,hybrid,74,239
256,hash_only,74,1
256,lattice_only,74,1152
256,hybrid,75,240
256,hash_only,75,1
256,lattice_only,75,1098
256,hybrid,76,237
256,hash_only,76,1
256,lattice_only,76,1122
256,hybrid,77,229
256,hash_only,77,1
256,lattice_only,77,1047
256,hybrid,78,289
256,hash_only,78,1
256,lattice_only,78,1080
256,hybrid,79,348
256,hash_only,79,2
256,lattice_only,79,1062
256,hybrid,80,241
256,hash_only,80,1
256,lattice_only,80,1155
256,hybrid,81,249
256,hash_only,81,1
256,lattice_only,81,1071
256,hybrid,82,239
256,hash_only,82,1
256,lattice_only,82,1143
256,hybrid,83,238
256,hash_only,83,1
256,lattice_only,83,1191
256,hybrid,84,241
256,hash_only,84,1
256,lattice_only,84,1107
256,hybrid,85,285
256,hash_only,85,1
256,lattice_only,85,1170
256,hybrid,86,239
256,hash_only,86,1
256,lattice_only,86,1173
256,hybrid,87,239
256,hash_only,87,1
256,lattice_only,87,1095
256,hybrid,88,244
256,hash_only,88,1
256,lattice_only,88,1164
256,hybrid,89,248
256,hash_only,89,1
256,lattice_only,89,1176
256,hybrid,90,238
256,hash_only,90,1
256,lattice_only,90,1071
256,hybrid,91,288
256,hash_only,91,1
256,lattice_only,91,1170
256,hybrid,92,241
256,hash_only,92,1
256,lattice_only,92,1164
256,hybrid,93,241
256,hash_only,93,1
256,lattice_only,93,1071
256,hybrid,94,240
256,hash_only,94,1
256,lattice_only,94,1155
256,hybrid,95,237
256,hash_only,95,1
256,lattice_only,95,1095
256,hybrid,96,268
256,hash_only,96,1
256,lattice_only,96,1083
256,hybrid,97,299
256,hash_only,97,1
256,lattice_only,97,1197
256,hybrid,98,242
256,hash_only,98,1
256,lattice_only,98,1305
256,hybrid,99,243
256,hash_only,99,1
256,lattice_only,99,1077
256,hybrid,100,245
256,hash_only,100,31
256,lattice_only,100,1083
256,hybrid,101,239
256,hash_only,101,1
256,lattice_only,101,1167
256,hybrid,102,236
256,hash_only,102,1
256,lattice_only,102,1083
256,hybrid,103,287
256,hash_only,103,1
256,lattice_only,103,1086
256,hybrid,104,240
256,hash_only,104,1
256,lattice_only,104,1179
256,hybrid,105,240
256,hash_only,105,1
256,lattice_only,105,1077
256,hybrid,106,243
256,hash_only,106,1
256,lattice_only,106,1146
256,hybrid,107,241
256,hash_only,107,1
256,lattice_only,107,1167
256,hybrid,108,246
256,hash_only,108,1
256,lattice_only,108,1071
256,hybrid,109,287
256,hash_only,109,1
256,lattice_only,109,1074
256,hybrid,110,239
256,hash_only,110,1
256,lattice_only,110,1170
256,hybrid,111,241
256,hash_only,111,1
256,lattice_only,111,1095
256,hybrid,112,244
256,hash_only,112,1
256,lattice_only,112,1158
256,hybrid,113,239
256,hash_only,113,1
256,lattice_only,113,1194
256,hybrid,114,239
256,hash_only,114,1
256,lattice_only,114,1071
256,hybrid,115,289
256,hash_only,115,1
256,lattice_only,115,1161
256,hybrid,116,245
256,hash_only,116,1
256,lattice_only,116,1167
256,hybrid,117,242
256,hash_only,117,1
256,lattice_only,117,1086
256,hybrid,118,251
256,hash_only,118,1
256,lattice_only,118,1155
256,hybrid,119,241
256,hash_only,119,1
256,lattice_only,119,1086
256,hybrid,120,239
256,hash_only,120,1
256,lattice_only,120,1062
256,hybrid,121,287
256,hash_only,121,1
256,lattice_only,121,1140
256,hybrid,122,239
256,hash_only,122,1
256,lattice_only,122,1083
256,hybrid,123,266
256,hash_only,123,1
256,lattice_only,123,1068
256,hybrid,124,244
256,hash_only,124,1
256,lattice_only,124,1155
256,hybrid,125,240
256,hash_only,125,1
256,lattice_only,125,1188
256,hybrid,126,262
256,hash_only,126,1
256,lattice_only,126,1101
256,hybrid,127,286
256,hash_only,127,1
256,lattice_only,127,1134
256,hybrid,128,244
256,hash_only,128,1
256,lattice_only,128,1083
256,hybrid,129,265
256,hash_only,129,1
256,lattice_only,129,1080
256,hybrid,130,243
256,hash_only,130,1
256,lattice_only,130,1131
256,hybrid,131,244
256,hash_only,131,1
256,lattice_only,131,1104
256,hybrid,132,267
256,hash_only,132,1
256,lattice_only,132,1104
256,hybrid,133,308
256,hash_only,133,1
256,lattice_only,133,1146
256,hybrid,134,239
256,hash_only,134,1
256,lattice_only,134,1074
256,hybrid,135,262
256,hash_only,135,1
256,lattice_only,135,1077
256,hybrid,136,250
256,hash_only,136,1
256,lattice_only,136,1131
256,hybrid,137,242
256,hash_only,137,1
256,lattice_only,137,1113
256,hybrid,138,265
256,hash_only,138,1
256,lattice_only,138,1068
256,hybrid,139,288
256,hash_only,139,1
256,lattice_only,139,1161
256,hybrid,140,237
256,hash_only,140,1
256,lattice_only,140,1098
256,hybrid,141,267
256,hash_only,141,1
256,lattice_only,141,1050
256,hybrid,142,245
256,hash_only,142,1
256,lattice_only,142,1161
256,hybrid,143,239
256,hash_only,143,1
256,lattice_only,143,1116
256,hybrid,144,271
256,hash_only,144,1
256,lattice_only,144,1062
